"X","X.1","X.2","Round.1","Round.1.1","X.3","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","year"
"9","9","DET","Rodney White\whitero02","University of North Carolina at Charlotte","4","218","3354","1540","485","237",".424",".314",".749","15.4","7.1","2.2","1.1","1.8",".026","-3.8","-1.5",1
"10","10","BOS","Joe Johnson\johnsjo02","University of Arkansas","17","1276","44234","20405","5059","5001",".441",".371",".802","34.7","16.0","4.0","3.9","82.8",".090","0.4","26.4",1
"11","11","BOS","Kedrick Brown\brownke01","Okaloosa-Walton Community College","4","143","1935","509","347","103",".405",".274",".640","13.5","3.6","2.4","0.7","3.0",".074","-2.2","-0.1",1
"12","12","SEA","Vladimir Radmanovic\radmavl01","","12","737","16164","5879","2784","998",".415",".378",".758","21.9","8.0","3.8","1.4","26.5",".079","-0.1","7.7",1
"13","13","HOU","Richard Jefferson\jefferi01","University of Arizona","17","1181","34293","14904","4720","2412",".464",".376",".768","29.0","12.6","4.0","2.0","83.0",".116","0.3","19.8",1
"14","14","GSW","Troy Murphy\murphtr01","University of Notre Dame","12","729","19921","7860","5708","1088",".445",".388",".785","27.3","10.8","7.8","1.5","50.3",".121","-0.1","9.5",1
"15","15","ORL","Steven Hunter\huntest01","DePaul University","8","400","5993","1817","1264","79",".560",".000",".485","15.0","4.5","3.2","0.2","10.6",".085","-2.8","-1.3",1
"16","16","CHH","Kirk Haston\hastoki01","Indiana University","2","27","134","32","27","8",".232",".000",".500","5.0","1.2","1.0","0.3","-0.5","-.197","-13.5","-0.4",1
"17","17","TOR","Michael Bradley\bradlmi01","Villanova University","5","173","2016","483","591","93",".477",".143",".511","11.7","2.8","3.4","0.5","2.0",".047","-3.7","-0.9",1
"18","18","HOU","Jason Collins\collija04","Stanford University","13","735","14974","2621","2706","626",".411",".206",".647","20.4","3.6","3.7","0.9","20.1",".064","-2.0","0.2",1
"19","19","POR","Zach Randolph\randoza01","Michigan State University","17","1116","34616","18578","10208","2049",".471",".273",".764","31.0","16.6","9.1","1.8","81.1",".112","-0.4","13.6",1
"20","20","CLE","Brendan Haywood\haywobr01","University of North Carolina","13","816","18680","5538","4875","442",".528",".000",".587","22.9","6.8","6.0","0.5","43.8",".113","-0.2","8.4",1
"21","21","BOS","Joseph Forte\fortejo01","University of North Carolina","2","25","125","30","17","17",".234",".000",".800","5.0","1.2","0.7","0.7","-0.4","-.166","-10.1","-0.3",1
"22","22","ORL","Jeryl Sasser\sasseje01","Southern Methodist University","2","82","1061","204","191","67",".303",".295",".687","12.9","2.5","2.3","0.8","0.7",".032","-2.9","-0.2",1
"23","23","HOU","Brandon Armstrong\armstbr01","Pepperdine University","3","108","699","239","63","24",".352",".333",".600","6.5","2.2","0.6","0.2","-0.6","-.039","-8.6","-1.2",1
"24","24","UTA","Raul Lopez\lopezra01","","2","113","2135","733","194","428",".429",".346",".853","18.9","6.5","1.7","3.8","2.1",".047","-3.5","-0.8",1
"25","25","SAC","Gerald Wallace\wallage01","University of Alabama","14","832","24731","9933","4838","1725",".469",".312",".709","29.7","11.9","5.8","2.1","59.7",".116","2.4","27.3",1
"26","26","PHI","Samuel Dalembert\dalemsa01","Seton Hall University","13","886","21646","6814","6942","465",".521",".083",".706","24.4","7.7","7.8","0.5","51.3",".114","-0.7","7.2",1
"27","27","MEM","Jamaal Tinsley\tinslja01","Iowa State University","11","547","14443","4652","1605","3330",".393",".299",".716","26.4","8.5","2.9","6.1","17.2",".057","-0.4","5.7",1
"28","28","SAS","Tony Parker\parketo01","","18","1250","38213","19442","3390","7028",".491",".323",".751","30.6","15.6","2.7","5.6","111.5",".140","0.7","25.8",1
